,,,,,,,,Fiscal Year,,,,,
,,,,,,,,(AMOUNTS IN THOUSANDS),,,,,
,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994
"Total Transfer from Discretely Presented Component Unit","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","33,401","29,678","31,164","31,167","30,506","25,811","27,560","24,073"
"Transfer from Nonmajor Capital Projects Fund","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1,670,837","457,832","-","-","-","-","-","-","-","-"
"Pollution Remediation-Bond Sales","169,391","147,672","96,428","136,064","140,310","149,891","139,513","159,154","241,126","293,586","191,547","201,830","267,801","205,972","176,424","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Transfer from General Debt Service Fund","48,047","50,861","60,554","78,090","80,976","81,810","82,067","82,047","81,786","81,474","86,115","88,133","67,503","11,798","-","552,006","-","102,938","631,232","-","13,210","-","-","-","-","-","-","-","-","-"
"Transfer from Nonmajor Debt Service Fund","240,623","234,594","247,720","225,838","219,215","225,114","217,051","345,777","229,949","245,700","229,538","209,446","177,755","124,968","145,644","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"TRANSFER FROM PENSION AND SIMILAR TRUST FUNDS","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","72,216"
"Total Transfers","-","-","-","-","-","-","-","-","-","-","507,200","499,409","513,059","342,738","322,068","552,006","-","102,938","631,232","-","1,684,047","457,832","-","-","-","-","-","-","-","72,216"
"Total Revenues and Other Financing Sources","$108,237,610","$107,228,653","$99,606,191","$95,058,142","$91,784,302","$87,936,395","$83,468,358","$79,986,484","$78,035,312","$72,880,530","$71,029,227","$67,024,159","$65,366,754","$62,856,297","$60,222,011","$62,017,324","$58,819,650","$54,046,910","$52,794,817","$47,297,054","$44,345,167","$40,865,260","$40,231,871","$37,884,571","$35,863,524","$34,928,666","$33,740,986","$32,071,295","$31,590,979","$31,352,390"


"Source: Annual Comprehensive Financial Reports of the Comptroller."
