"","year","agency","funding_class","sum_rev","agency_total_budget","proportion"
"345",2014,"Fire Department","STATE",22992192.48,1879465098.1,0.01
"346",2014,"Health and Hospitals Corporation","FEDERAL - OTHER",19319264.12,337074423.93,0.06
"347",2014,"Housing Preservation and Development","FEDERAL - OTHER",530625415.290001,689971770.97,0.77
"348",2014,"Housing Preservation and Development","STATE",1734032.35000002,689971770.97,0
"349",2014,"Landmarks Preservation Commission","STATE",0,4743220.27,0
"350",2014,"Law Department","FEDERAL - OTHER",53365,162707045.55,0
"351",2014,"Mayoralty","FEDERAL - OTHER",18257436.1399996,95787011.16,0.19
"352",2014,"Mayoralty","STATE",2885712,95787011.16,0.03
"353",2014,"Miscellaneous","FEDERAL - OTHER",913518.42,10522241812.59,0
"354",2014,"Miscellaneous","STATE",573469654.83,10522241812.59,0.05
"355",2014,"NYC Taxi and Limousine Commission","FEDERAL - OTHER",0,46393533.68,0
"356",2014,"Office of Administrative Trials and Hearings","FEDERAL - OTHER",3.63797880709171e-12,NA,NA
"357",2014,"Office of Collective Bargaining","FEDERAL - OTHER",0,2100679.66,0
"358",2014,"Office of Prosecution - Special Narcotics","FEDERAL - OTHER",548224.74,18195589.85,0.03
"359",2014,"Office of Prosecution - Special Narcotics","STATE",1082292,18195589.85,0.06
"360",2014,"Police Department","FEDERAL - OTHER",266737154.21,4912272109.17999,0.05
"361",2014,"Police Department","STATE",28865227.94,4912272109.17999,0.01
"362",2015,"Administration for Children's Services","FEDERAL - OTHER",1324822329.96,2826693882.51,0.47
"363",2015,"Administration for Children's Services","STATE",618220984.69,2826693882.51,0.22
"364",2015,"Board of Elections","FEDERAL - OTHER",144189.93,106755130.75,0
"365",2015,"Board of Elections","STATE",103360.45,106755130.75,0
"366",2015,"Borough President - Bronx","FEDERAL - OTHER",162628.17,5286568.57,0.03
"367",2015,"Borough President - Bronx","STATE",100400.53,5286568.57,0.02
"368",2015,"Borough President - Brooklyn","FEDERAL - OTHER",299723.32,5855866.54,0.05
"369",2015,"Borough President - Brooklyn","STATE",434500,5855866.54,0.07
"370",2015,"Borough President - Queens","FEDERAL - OTHER",594248.52,4754844.96,0.12
"371",2015,"Borough President - Queens","STATE",45951.39,4754844.96,0.01
"372",2015,"Brooklyn Community Board # 6","STATE",0,232803.83,0
"373",2015,"Brooklyn Public Library","FEDERAL - OTHER",50892.57,91560193.94,0
"374",2015,"Business Integrity Commission","FEDERAL - OTHER",1382959.03,8065395.91,0.17
"375",2015,"Business Integrity Commission","STATE",0,8065395.91,0
"376",2015,"City Clerk","STATE",65206,5586787.76,0.01
"377",2015,"City Council","FEDERAL - OTHER",0,56911423.1,0
"378",2015,"City University of New York","FEDERAL - OTHER",1892055.13,955125291.319999,0
"379",2015,"City University of New York","STATE",226757938,955125291.319999,0.24
"380",2015,"Commission on Human Rights","FEDERAL - OTHER",144950,5795280.41,0.03
"381",2015,"Debt Service","FEDERAL - OTHER",198373248.01,7420909532.12,0.03
"382",2015,"Department for the Aging","FEDERAL - OTHER",65524615.76,285235602.64,0.23
"383",2015,"Department for the Aging","STATE",39727686.36,285235602.64,0.14
"384",2015,"Department of Buildings","FEDERAL - OTHER",0,108673407.9,0
"385",2015,"Department of City Planning","FEDERAL - OTHER",1988755.45,24717460.03,0.08
"386",2015,"Department of City Planning","STATE",204151.69,24717460.03,0.01
"387",2015,"Department of Citywide Administrative Services","FEDERAL - OTHER",4844237.97999999,1157782468.1,0
"388",2015,"Department of Citywide Administrative Services","STATE",45070619.34,1157782468.1,0.04
"389",2015,"Department of Consumer Affairs","STATE",2668262.7,37434657.9,0.07
"390",2015,"Department of Correction","FEDERAL - OTHER",7776810.65,1162121013.3,0.01
"391",2015,"Department of Correction","STATE",974354.7,1162121013.3,0
"392",2015,"Department of Cultural Affairs","FEDERAL - OTHER",7833.92,163688389.33,0
"393",2015,"Department of Cultural Affairs","STATE",0,163688389.33,0
"394",2015,"Department of Design and Construction","FEDERAL - OTHER",2215852,160278578.27,0.01
"395",2015,"Department of Education","FEDERAL - OTHER",1708910537.26,20999365395.32,0.08
"396",2015,"Department of Education","STATE",9221176066.33998,20999365395.32,0.44
"397",2015,"Department of Emergency Management","FEDERAL - OTHER",22693812.6,35038336.77,0.65
"398",2015,"Department of Environmental Protection","FEDERAL - OTHER",5157163.96000002,1216053865.15,0
"399",2015,"Department of Environmental Protection","STATE",366390.95,1216053865.15,0
"400",2015,"Department of Finance","STATE",0,251755300.03,0
"401",2015,"Department of Health and Mental Hygiene","FEDERAL - OTHER",290336007.860001,1495546820.01001,0.19
"402",2015,"Department of Health and Mental Hygiene","STATE",290201216.009999,1495546820.01001,0.19
"403",2015,"Department of Homeless Services","FEDERAL - OTHER",323244635.88,1169825774.32,0.28
"404",2015,"Department of Homeless Services","STATE",158494517.2,1169825774.32,0.14
"405",2015,"Department of Information Technology and Telecommunications","FEDERAL - OTHER",-1682606.72,491715920.59,0
"406",2015,"Department of Information Technology and Telecommunications","STATE",28750,491715920.59,0
"407",2015,"Department of Investigation","FEDERAL - OTHER",4716473.77,34983461.56,0.13
"408",2015,"Department of Investigation","STATE",0,34983461.56,0
"409",2015,"Department of Parks and Recreation","FEDERAL - OTHER",1953795.06,496268451.580001,0
"410",2015,"Department of Parks and Recreation","STATE",-14032003.39,496268451.580001,-0.03
"411",2015,"Department of Probation","FEDERAL - OTHER",34684.92,89942351.2599999,0
"412",2015,"Department of Probation","STATE",13264431.57,89942351.2599999,0.15
"413",2015,"Department of Records and Information Services","STATE",303584,6251824.99,0.05
"414",2015,"Department of Sanitation","FEDERAL - OTHER",1760105.44,1477411612.86,0
"415",2015,"Department of Sanitation","STATE",817109.37,1477411612.86,0
"416",2015,"Department of Small Business Services","FEDERAL - OTHER",58558545.5,273458447.57,0.21
"417",2015,"Department of Small Business Services","STATE",-2602595.03999998,273458447.57,-0.01
"418",2015,"Department of Social Services","FEDERAL - OTHER",1590150473.05,9771189864.71,0.16
"419",2015,"Department of Social Services","STATE",615456630.79,9771189864.71,0.06
"420",2015,"Department of Transportation","FEDERAL - OTHER",93715460.7200001,884995907.580002,0.11
"421",2015,"Department of Transportation","STATE",219560437.21,884995907.580002,0.25
"422",2015,"Department of Youth and Community Development","FEDERAL - OTHER",49307694.9899999,581885353.68,0.08
"423",2015,"Department of Youth and Community Development","STATE",11008624,581885353.68,0.02
"424",2015,"District Attorney - Bronx County","FEDERAL - OTHER",1084246.09,60988815.1,0.02
"425",2015,"District Attorney - Bronx County","STATE",3774524.58,60988815.1,0.06
"426",2015,"District Attorney - New York County","FEDERAL - OTHER",1657643.19,107621144.65,0.02
"427",2015,"District Attorney - New York County","STATE",9922452.12,107621144.65,0.09
"428",2015,"District Attorney - Queens County","FEDERAL - OTHER",636107.79,56952974.08,0.01
"429",2015,"District Attorney - Queens County","STATE",4656701.16,56952974.08,0.08
"430",2015,"District Attorney -Kings County","FEDERAL - OTHER",968611.37,94065236.2500001,0.01
"431",2015,"District Attorney -Kings County","STATE",4297051.15,94065236.2500001,0.05
"432",2015,"District Attorney -Richmond County","FEDERAL - OTHER",208710.29,10301776.58,0.02
"433",2015,"District Attorney -Richmond County","STATE",754043.3,10301776.58,0.07
"434",2015,"Financial Information Services Agency","FEDERAL - OTHER",32304.87,83122122.7,0
"435",2015,"Fire Department","FEDERAL - OTHER",85975677.95,1893651214.38,0.05
"436",2015,"Fire Department","STATE",36078982.14,1893651214.38,0.02
"437",2015,"Health and Hospitals Corporation","FEDERAL - OTHER",14064783.49,335141349.68,0.04
"438",2015,"Housing Preservation and Development","FEDERAL - OTHER",458945478.809997,718403415.229998,0.64
"439",2015,"Housing Preservation and Development","STATE",-537738.69,718403415.229998,0
"440",2015,"Landmarks Preservation Commission","STATE",9956,4781545.25,0
"441",2015,"Law Department","FEDERAL - OTHER",40931,175589641.28,0
"442",2015,"Mayoralty","FEDERAL - OTHER",24091579.9500001,101721588.29,0.24
"443",2015,"Mayoralty","STATE",3482936.88999998,101721588.29,0.03
"444",2015,"Miscellaneous","FEDERAL - OTHER",6576522.06,9644714627.55,0
"445",2015,"Miscellaneous","STATE",606024022.720001,9644714627.55,0.06
"446",2015,"NYC Taxi and Limousine Commission","FEDERAL - OTHER",0,52445521.49,0
"447",2015,"New York Public Library","FEDERAL - OTHER",0,120179397.11,0
"448",2015,"Office of Administrative Trials and Hearings","FEDERAL - OTHER",0,NA,NA
"449",2015,"Office of Prosecution - Special Narcotics","FEDERAL - OTHER",173117.14,19206111.66,0.01
"450",2015,"Office of Prosecution - Special Narcotics","STATE",1000636,19206111.66,0.05
"451",2015,"Police Department","FEDERAL - OTHER",241461020.44,5151559325.04998,0.05
"452",2015,"Police Department","STATE",15470986.8,5151559325.04998,0
"453",2016,"Administration for Children's Services","FEDERAL - OTHER",1292082582.4,2875119714.35,0.45
"454",2016,"Administration for Children's Services","STATE",677578855.43,2875119714.35,0.24
"455",2016,"Board of Elections","FEDERAL - OTHER",172421.6,116672118.9,0
"456",2016,"Board of Elections","STATE",0,116672118.9,0
"457",2016,"Borough President - Bronx","FEDERAL - OTHER",287576.5,5063903.51,0.06
"458",2016,"Borough President - Bronx","STATE",0,5063903.51,0
"459",2016,"Borough President - Brooklyn","FEDERAL - OTHER",559505.64,6369279.06,0.09
"460",2016,"Borough President - Brooklyn","STATE",433500,6369279.06,0.07
"461",2016,"Borough President - Queens","FEDERAL - OTHER",413744.94,5093621.69,0.08
"462",2016,"Borough President - Queens","STATE",23660.05,5093621.69,0
"463",2016,"Brooklyn Public Library","FEDERAL - OTHER",0,102041492.18,0
"464",2016,"Business Integrity Commission","FEDERAL - OTHER",712347.370000001,8091767.94,0.09
"465",2016,"City Clerk","STATE",58775,5548318.76,0.01
"466",2016,"City University of New York","FEDERAL - OTHER",443600,1018697111.58,0
"467",2016,"City University of New York","STATE",239244797,1018697111.58,0.23
"468",2016,"Civilian Complaint Review Board","FEDERAL - OTHER",0,14077028.6,0
"469",2016,"Commission on Human Rights","FEDERAL - OTHER",215200,8841874.60000001,0.02
"470",2016,"Debt Service","FEDERAL - OTHER",198798281.42,5873841924.27,0.03
"471",2016,"Department for the Aging","FEDERAL - OTHER",69601162.2600001,305379093.68,0.23
"472",2016,"Department for the Aging","STATE",52864266.59,305379093.68,0.17
"473",2016,"Department of City Planning","FEDERAL - OTHER",1889626.94,31230976.57,0.06
"474",2016,"Department of City Planning","STATE",77018.81,31230976.57,0
"475",2016,"Department of Citywide Administrative Services","FEDERAL - OTHER",953502.449999999,1117777960.8,0
"476",2016,"Department of Citywide Administrative Services","STATE",71156205.14,1117777960.8,0.06
"477",2016,"Department of Consumer Affairs","STATE",2086543.72,36210856.34,0.06
"478",2016,"Department of Correction","FEDERAL - OTHER",9252204.26999999,1307632540.77,0.01
"479",2016,"Department of Correction","STATE",779413.95,1307632540.77,0
"480",2016,"Department of Cultural Affairs","FEDERAL - OTHER",41833.98,163106130.12,0
"481",2016,"Department of Cultural Affairs","STATE",0,163106130.12,0
"482",2016,"Department of Design and Construction","FEDERAL - OTHER",336556,399286740.62,0
"483",2016,"Department of Education","FEDERAL - OTHER",1737501625.43,22421559952.92,0.08
"484",2016,"Department of Education","STATE",9732572303.27998,22421559952.92,0.43
"485",2016,"Department of Emergency Management","FEDERAL - OTHER",37620226.37,35671146.12,1.05
"486",2016,"Department of Environmental Protection","FEDERAL - OTHER",3426891.72,1267157438.69,0
"487",2016,"Department of Environmental Protection","STATE",14719.1300000004,1267157438.69,0
"488",2016,"Department of Finance","FEDERAL - OTHER",77724.64,258847965.91,0
"489",2016,"Department of Health and Mental Hygiene","FEDERAL - OTHER",361094654.94,1450674032.3,0.25
"490",2016,"Department of Health and Mental Hygiene","STATE",699470272.239999,1450674032.3,0.48
"491",2016,"Department of Homeless Services","FEDERAL - OTHER",445584005.53,1400629029.58,0.32
"492",2016,"Department of Homeless Services","STATE",178802971.38,1400629029.58,0.13
"493",2016,"Department of Information Technology and Telecommunications","FEDERAL - OTHER",2475676.36,587009881.160001,0
"494",2016,"Department of Information Technology and Telecommunications","STATE",5000,587009881.160001,0
"495",2016,"Department of Investigation","FEDERAL - OTHER",6734532.06,38368084.7,0.18
"496",2016,"Department of Investigation","STATE",81647.32,38368084.7,0
"497",2016,"Department of Juvenile Justice","STATE",-3601993.39,0,-Inf
"498",2016,"Department of Parks and Recreation","FEDERAL - OTHER",1869191.14,476104469.85,0
"499",2016,"Department of Parks and Recreation","STATE",319261.070000001,476104469.85,0
"500",2016,"Department of Probation","STATE",13237546,89048506.01,0.15
"501",2016,"Department of Records and Information Services","STATE",296403,7731168.99,0.04
"502",2016,"Department of Sanitation","FEDERAL - OTHER",76493.1600000003,1500676304.81,0
"503",2016,"Department of Sanitation","STATE",9.09494701772928e-12,1500676304.81,0
"504",2016,"Department of Small Business Services","FEDERAL - OTHER",48892049.1199999,282466121.68,0.17
"505",2016,"Department of Small Business Services","STATE",2953676.63,282466121.68,0.01
"506",2016,"Department of Social Services","FEDERAL - OTHER",1588760869.93,9397989716.65002,0.17
"507",2016,"Department of Social Services","STATE",711869662.940002,9397989716.65002,0.08
"508",2016,"Department of Transportation","FEDERAL - OTHER",90639495.5800003,910278138.65,0.1
"509",2016,"Department of Transportation","STATE",182539439.71,910278138.65,0.2
"510",2016,"Department of Youth and Community Development","FEDERAL - OTHER",76487854.71,664715211.31,0.12
"511",2016,"Department of Youth and Community Development","STATE",1912547,664715211.31,0
"512",2016,"District Attorney - Bronx County","FEDERAL - OTHER",989516.9,61574883.6,0.02
"513",2016,"District Attorney - Bronx County","STATE",4475001.06,61574883.6,0.07
"514",2016,"District Attorney - New York County","FEDERAL - OTHER",3152500.6,109625885.61,0.03
"515",2016,"District Attorney - New York County","STATE",10048392.31,109625885.61,0.09
"516",2016,"District Attorney - Queens County","FEDERAL - OTHER",605484.31,59264873.21,0.01
"517",2016,"District Attorney - Queens County","STATE",4245767.51,59264873.21,0.07
"518",2016,"District Attorney -Kings County","FEDERAL - OTHER",1125332.15,97046948.58,0.01
"519",2016,"District Attorney -Kings County","STATE",5129978.87,97046948.58,0.05
"520",2016,"District Attorney -Richmond County","FEDERAL - OTHER",196253.45,10705468.57,0.02
"521",2016,"District Attorney -Richmond County","STATE",518000.63,10705468.57,0.05
"522",2016,"Financial Information Services Agency","FEDERAL - OTHER",0,91389695.5400001,0
"523",2016,"Fire Department","FEDERAL - OTHER",96017723.22,1974516787,0.05
"524",2016,"Fire Department","STATE",9741307.65,1974516787,0
"525",2016,"Health and Hospitals Corporation","FEDERAL - OTHER",45167272.73,1359134845.87,0.03
"526",2016,"Housing Preservation and Development","FEDERAL - OTHER",509706302.950001,850031763.570001,0.6
"527",2016,"Housing Preservation and Development","STATE",2669021.69,850031763.570001,0
"528",2016,"Landmarks Preservation Commission","STATE",0,5250878.51,0
"529",2016,"Law Department","FEDERAL - OTHER",3.63797880709171e-12,194351031.56,0
"530",2016,"Mayoralty","FEDERAL - OTHER",73590446.7399989,109532565.6,0.67
"531",2016,"Mayoralty","STATE",2755352.22,109532565.6,0.03
"532",2016,"Miscellaneous","FEDERAL - OTHER",95154.4700000044,8721487897.73,0
"533",2016,"Miscellaneous","STATE",718384646.25,8721487897.73,0.08
"534",2016,"NYC Taxi and Limousine Commission","FEDERAL - OTHER",0,47930627.71,0
"535",2016,"Office of Administrative Trials and Hearings","FEDERAL - OTHER",0,NA,NA
"536",2016,"Office of Prosecution - Special Narcotics","FEDERAL - OTHER",275019.22,21600453.51,0.01
"537",2016,"Office of Prosecution - Special Narcotics","STATE",825000,21600453.51,0.04
"538",2016,"Police Department","FEDERAL - OTHER",210947305.66,5328651320.06,0.04
"539",2016,"Police Department","STATE",63481218.4100001,5328651320.06,0.01
"540",2016,"Public Advocate","STATE",22986,3312440.2,0.01
"541",2017,"Administration for Children's Services","FEDERAL - OTHER",1434243959.9,2974092573.95,0.48
"542",2017,"Administration for Children's Services","STATE",934871744.09,2974092573.95,0.31
"543",2017,"Board of Elections","FEDERAL - OTHER",0,121618090.51,0
"544",2017,"Board of Elections","STATE",0,121618090.51,0
"545",2017,"Borough President - Bronx","FEDERAL - OTHER",340578.74,4971026.05,0.07
"546",2017,"Borough President - Brooklyn","FEDERAL - OTHER",526432.65,6099174.01,0.09
"547",2017,"Borough President - Brooklyn","STATE",164000,6099174.01,0.03
"548",2017,"Borough President - Queens","FEDERAL - OTHER",26911.41,5172433.04,0.01
"549",2017,"Brooklyn Community Board # 6","STATE",0,231273.15,0
"550",2017,"Business Integrity Commission","FEDERAL - OTHER",127529.45,9559298.56999999,0.01
"551",2017,"City Clerk","STATE",74775,5913746.28,0.01
"552",2017,"City University of New York","FEDERAL - OTHER",0,1158486715.28,0
"553",2017,"City University of New York","STATE",248266500,1158486715.28,0.21
"554",2017,"Commission on Human Rights","FEDERAL - OTHER",221250,10427309.95,0.02
"555",2017,"Commission on Human Rights","STATE",24996,10427309.95,0
"556",2017,"DEPARTMENT OF VETERANS' SERVICES","STATE",322922,2468463.52,0.13
"557",2017,"Debt Service","FEDERAL - OTHER",198818153.12,5889830210.19,0.03
"558",2017,"Department for the Aging","FEDERAL - OTHER",75460450.1,333482536.48,0.23
"559",2017,"Department for the Aging","STATE",33925295.38,333482536.48,0.1
"560",2017,"Department of City Planning","FEDERAL - OTHER",1622991.74,36312458.73,0.04
"561",2017,"Department of City Planning","STATE",112803.16,36312458.73,0
"562",2017,"Department of Citywide Administrative Services","FEDERAL - OTHER",617928.65,1165865954.93,0
"563",2017,"Department of Citywide Administrative Services","STATE",119009935.64,1165865954.93,0.1
"564",2017,"Department of Consumer Affairs","STATE",2088470.59,36104545.8,0.06
"565",2017,"Department of Correction","FEDERAL - OTHER",11931443.59,1368640687.3,0.01
"566",2017,"Department of Correction","STATE",702629.93,1368640687.3,0
"567",2017,"Department of Cultural Affairs","FEDERAL - OTHER",0,182592556.37,0
"568",2017,"Department of Design and Construction","FEDERAL - OTHER",0,505553995.3,0
"569",2017,"Department of Education","FEDERAL - OTHER",1762714856.36,23508038000.6901,0.07
"570",2017,"Department of Education","STATE",10242916766.83,23508038000.6901,0.44
"571",2017,"Department of Emergency Management","FEDERAL - OTHER",27903408.13,47395113.27,0.59
"572",2017,"Department of Environmental Protection","FEDERAL - OTHER",2397254.11,1435894188.09,0
"573",2017,"Department of Environmental Protection","STATE",670169.36,1435894188.09,0
"574",2017,"Department of Finance","STATE",0,266622724.41,0
"575",2017,"Department of Health and Mental Hygiene","FEDERAL - OTHER",322462625.479999,1622379721.01,0.2
"576",2017,"Department of Health and Mental Hygiene","STATE",630949846.820001,1622379721.01,0.39
"577",2017,"Department of Homeless Services","FEDERAL - OTHER",524682310.05,1823696387.18,0.29
"578",2017,"Department of Homeless Services","STATE",188103365.93,1823696387.18,0.1
"579",2017,"Department of Information Technology and Telecommunications","FEDERAL - OTHER",2550996.56,637604247.710001,0
"580",2017,"Department of Information Technology and Telecommunications","STATE",165471,637604247.710001,0
"581",2017,"Department of Investigation","FEDERAL - OTHER",5254782.68,45278084.63,0.12
"582",2017,"Department of Investigation","STATE",387409.52,45278084.63,0.01
"583",2017,"Department of Parks and Recreation","FEDERAL - OTHER",856451.360000002,532557082.000001,0
"584",2017,"Department of Parks and Recreation","STATE",2912023.54,532557082.000001,0.01
"585",2017,"Department of Probation","STATE",9890697,94498543.5,0.1
"586",2017,"Department of Records and Information Services","FEDERAL - OTHER",92771,7726349.67,0.01
"587",2017,"Department of Records and Information Services","STATE",334919,7726349.67,0.04
"588",2017,"Department of Sanitation","FEDERAL - OTHER",4.65661287307739e-10,1601317444.34,0
"589",2017,"Department of Sanitation","STATE",0,1601317444.34,0
"590",2017,"Department of Small Business Services","FEDERAL - OTHER",47593850.41,259982160.7,0.18
"591",2017,"Department of Small Business Services","STATE",451868.20000001,259982160.7,0
"592",2017,"Department of Social Services","FEDERAL - OTHER",1477492920.58,9563423590.26997,0.15
"593",2017,"Department of Social Services","STATE",507024453.220002,9563423590.26997,0.05
"594",2017,"Department of Transportation","FEDERAL - OTHER",61380489.1299999,957884651.030004,0.06
"595",2017,"Department of Transportation","STATE",187848347.78,957884651.030004,0.2
"596",2017,"Department of Youth and Community Development","FEDERAL - OTHER",96930098.8100001,719232470.57,0.13
"597",2017,"Department of Youth and Community Development","STATE",7694743.06,719232470.57,0.01
"598",2017,"District Attorney - Bronx County","FEDERAL - OTHER",991200.480000001,73639081.8999999,0.01
"599",2017,"District Attorney - Bronx County","STATE",3825175.14,73639081.8999999,0.05
"600",2017,"District Attorney - New York County","FEDERAL - OTHER",2050182.68,116910751.61,0.02
"601",2017,"District Attorney - New York County","STATE",13313811.3,116910751.61,0.11
"602",2017,"District Attorney - Queens County","FEDERAL - OTHER",967235.41,62820376.93,0.02
"603",2017,"District Attorney - Queens County","STATE",4499116.91,62820376.93,0.07
"604",2017,"District Attorney -Kings County","FEDERAL - OTHER",1207817.24,98215684.02,0.01
"605",2017,"District Attorney -Kings County","STATE",4651380.24,98215684.02,0.05
"606",2017,"District Attorney -Richmond County","FEDERAL - OTHER",491829.86,14573843.64,0.03
"607",2017,"District Attorney -Richmond County","STATE",399268.58,14573843.64,0.03
"608",2017,"Financial Information Services Agency","FEDERAL - OTHER",0,99856205.67,0
"609",2017,"Fire Department","FEDERAL - OTHER",73680030.3400001,2037656046.27,0.04
"610",2017,"Fire Department","STATE",22014224.49,2037656046.27,0.01
"611",2017,"Health and Hospitals Corporation","FEDERAL - OTHER",16581670.06,783446904.3,0.02
"612",2017,"Housing Preservation and Development","FEDERAL - OTHER",542755259.919999,1026604021.25,0.53
"613",2017,"Housing Preservation and Development","STATE",1204791.75,1026604021.25,0
"614",2017,"Mayoralty","FEDERAL - OTHER",66043754.0600003,121263295.79,0.54
"615",2017,"Mayoralty","STATE",1841427.7,121263295.79,0.02
"616",2017,"Miscellaneous","FEDERAL - OTHER",2749279.64,9169411400.28,0
"617",2017,"Miscellaneous","STATE",670798755.4,9169411400.28,0.07
"618",2017,"Office of Prosecution - Special Narcotics","FEDERAL - OTHER",256681.62,22078072.78,0.01
"619",2017,"Office of Prosecution - Special Narcotics","STATE",814479.45,22078072.78,0.04
"620",2017,"Police Department","FEDERAL - OTHER",244038791.42,5583994407.12999,0.04
"621",2017,"Police Department","STATE",65807592.97,5583994407.12999,0.01
"622",2017,"Public Advocate","STATE",0,3525226.86,0
"623",2018,"Administration for Children's Services","FEDERAL - OTHER",1156322711.96,2976779882.50001,0.39
"624",2018,"Administration for Children's Services","STATE",757292164.15,2976779882.50001,0.25
"625",2018,"Board of Elections","FEDERAL - OTHER",0,129316442.83,0
"626",2018,"Borough President - Bronx","FEDERAL - OTHER",104793,4902090.89,0.02
"627",2018,"Borough President - Brooklyn","FEDERAL - OTHER",559931.21,6252788.85,0.09
"628",2018,"Borough President - Brooklyn","STATE",0,6252788.85,0
"629",2018,"Borough President - Queens","FEDERAL - OTHER",214735.2,5752139.42,0.04
"630",2018,"Business Integrity Commission","FEDERAL - OTHER",3479.61000000002,8782525.15,0
"631",2018,"Campaign Finance Board","FEDERAL - OTHER",0,32989420.49,0
"632",2018,"City Clerk","STATE",0,5304515.45,0
"633",2018,"City University of New York","STATE",254513245,1199135191.11,0.21
"634",2018,"Civilian Complaint Review Board","FEDERAL - OTHER",0,16405577.44,0
"635",2018,"Commission on Human Rights","FEDERAL - OTHER",444755.97,12758464.82,0.03
"636",2018,"Commission on Human Rights","STATE",38462.99,12758464.82,0
"637",2018,"DEPARTMENT OF VETERANS' SERVICES","STATE",-1.45519152283669e-11,3572505.08,0
"638",2018,"Debt Service","FEDERAL - OTHER",198229504.38,6693636472.43,0.03
"639",2018,"Department for the Aging","FEDERAL - OTHER",75159844.94,366105667.56,0.21
"640",2018,"Department for the Aging","STATE",51440237.93,366105667.56,0.14
"641",2018,"Department of Buildings","FEDERAL - OTHER",0,159725643.65,0
"642",2018,"Department of City Planning","FEDERAL - OTHER",1569686.49,36105569.92,0.04
"643",2018,"Department of City Planning","STATE",37207.56,36105569.92,0
"644",2018,"Department of Citywide Administrative Services","FEDERAL - OTHER",655537.819999999,1245105997.2,0
"645",2018,"Department of Citywide Administrative Services","STATE",67997556.03,1245105997.2,0.05
"646",2018,"Department of Consumer Affairs","FEDERAL - OTHER",0,39567337.05,0
"647",2018,"Department of Consumer Affairs","STATE",1577154.13,39567337.05,0.04
"648",2018,"Department of Correction","FEDERAL - OTHER",861742.78,1400208158.58,0
"649",2018,"Department of Correction","STATE",1002993.79,1400208158.58,0
"650",2018,"Department of Cultural Affairs","FEDERAL - OTHER",35558,192497483.95,0
"651",2018,"Department of Design and Construction","FEDERAL - OTHER",44224.29,550866679.989999,0
"652",2018,"Department of Education","FEDERAL - OTHER",1826808770.76,25144008626.78,0.07
"653",2018,"Department of Education","STATE",10728687195.16,25144008626.78,0.43
"654",2018,"Department of Emergency Management","FEDERAL - OTHER",36297962.02,58888100.86,0.62
"655",2018,"Department of Environmental Protection","FEDERAL - OTHER",2669161.09,1432081179.33,0
"656",2018,"Department of Environmental Protection","STATE",2029500.4,1432081179.33,0
"657",2018,"Department of Health and Mental Hygiene","FEDERAL - OTHER",362649542.530001,1699409030.63,0.21
"658",2018,"Department of Health and Mental Hygiene","STATE",541495666.589999,1699409030.63,0.32
"659",2018,"Department of Homeless Services","FEDERAL - OTHER",693809893.66,2146016707.95,0.32
"660",2018,"Department of Homeless Services","STATE",168447182.93,2146016707.95,0.08
"661",2018,"Department of Information Technology and Telecommunications","FEDERAL - OTHER",1837405.4,657914101.780001,0
"662",2018,"Department of Information Technology and Telecommunications","STATE",0,657914101.780001,0
"663",2018,"Department of Investigation","FEDERAL - OTHER",6378858.18,41979968.65,0.15
"664",2018,"Department of Investigation","STATE",27745.89,41979968.65,0
"665",2018,"Department of Parks and Recreation","FEDERAL - OTHER",1653438.48,545283611.52,0
"666",2018,"Department of Parks and Recreation","STATE",1626335.87,545283611.52,0
"667",2018,"Department of Probation","FEDERAL - OTHER",329162.93,103147840.64,0
"668",2018,"Department of Probation","STATE",13687948,103147840.64,0.13
"669",2018,"Department of Records and Information Services","FEDERAL - OTHER",0,8011604.17,0
"670",2018,"Department of Records and Information Services","STATE",452030,8011604.17,0.06
"671",2018,"Department of Sanitation","FEDERAL - OTHER",2113849.41,1718962838.12,0
"672",2018,"Department of Sanitation","STATE",40292.28,1718962838.12,0
"673",2018,"Department of Small Business Services","FEDERAL - OTHER",47129846.4600001,267161240.9,0.18
"674",2018,"Department of Small Business Services","STATE",445148.109999962,267161240.9,0
"675",2018,"Department of Social Services","FEDERAL - OTHER",1617271315.06,9904012592.93,0.16
"676",2018,"Department of Social Services","STATE",696150496.000001,9904012592.93,0.07
"677",2018,"Department of Transportation","FEDERAL - OTHER",99769196.72,983688561.250004,0.1
"678",2018,"Department of Transportation","STATE",206045389.23,983688561.250004,0.21
"679",2018,"Department of Youth and Community Development","FEDERAL - OTHER",56895847.47,809309862.68,0.07
"680",2018,"Department of Youth and Community Development","STATE",6931832.04,809309862.68,0.01
"681",2018,"District Attorney - Bronx County","FEDERAL - OTHER",737977.46,75537363.9999999,0.01
"682",2018,"District Attorney - Bronx County","STATE",3506970.86,75537363.9999999,0.05
"683",2018,"District Attorney - New York County","FEDERAL - OTHER",759714.19,113422988.46,0.01
"684",2018,"District Attorney - New York County","STATE",10066682.89,113422988.46,0.09
"685",2018,"District Attorney - Queens County","FEDERAL - OTHER",30643.93,62421168.9,0
"686",2018,"District Attorney - Queens County","STATE",4228393.56,62421168.9,0.07
"687",2018,"District Attorney -Kings County","FEDERAL - OTHER",969497.27,98925357.0999999,0.01
"688",2018,"District Attorney -Kings County","STATE",4712304.62,98925357.0999999,0.05
"689",2018,"District Attorney -Richmond County","FEDERAL - OTHER",710022.65,15433418.64,0.05
