"","revenue_source","occurance"
"736","TANF - Emergency Assistance",3948
"737","TANF - Emergency Assistance Families / Set Aside for Child Welfare",551
"738","TANF - Emergency Assistance Families",222
"739","TANF - Safety Net",1302
"740","TB Control And Prevention",282
"741","TB Directly Observed Therapy",15
"742","Tea- City Wide Construction Project",20717
"743","Teacher Center Program",443
"744","Teachers Of Tomorrow",106
"745","TANF",1243
"746","TANF - 100% Federal",2313
"747","TANF",13172
"748","Tenant Interim Lease",432
"749","Tenant Work",185
"750","The Brookdale Foundation",1
"751","Therapeutic Nursery",116
"752","Title 3D Health Promotion",149
"753","Title E - Caregiver Support",107
"754","Title I - Local Education Agencies",646
"755","Title I Grants To Local Educational Agcs",7401
"756","Title III, Part B: Supportive Services A",195
"757","Title III, Part C: Nutrition Services",401
"758","Title Iii-Lep &  Immigration Student",4016
"759","Title IV-E  -  Protective Services",703
"760","Title IV-E -  Foster Care Administration",3838
"761","Title V NCOA Employment Prog.",601
"762","Title V Sen Com Ser Emp Progm.",235
"763","Title VII Elder Abuse Prvntion",39
"764","Social Services Block Grant Title XX",1022
"765","Title-E Caregiver Support",73
"766","Trade Adjustment Assistance Program",411
"767","Traffic Injury Prevention",221
"768","Traffic Street Safety",7
"769","Training",5846
"770","Training Grants To Stop Elder Abuse",63
"771","Transitional Finance Authority",73
"772","Transitional Independent Livin",124
"773","Transportation Aid",984
"774","Transportation Improvement",647
"775","Tree Restitution",18
"776","Trio: Student Support Services",2129
"777","Tuberculosis Control Program",743
"778","Turn 2 Foundation",89
"779","Teacher Incentive Fund",197
"780","Technical Assistance Grants",4
"781","Teenage Pregnancy Prevention Program",437
"782","The Patient Protection And Affordable Care Act Of 2010",38
"783","Title V Delinquency Prevention",16
"784","Transformation Initiative Research Grants",11
"785","UMTA Mass Transit Studies",605
"786","United Nations + Consulate",286
"787","United Way Program",16
"788","Universal Prekindergarten",69
"789","Universal Service Funds",562
"790","Urban Areas Security Initiative",3893
"791","Urban Park Serv-Urban Fores Ed",53
"792","Urban Search Rescue And Response System",705
"793","Urban Wetland Evaluation Program",141
"794","United States Capitol Police",3
"795","Universal Pre-Kindergarten",291
"796","Urban Agriculture And Innovative Production",1
"797","Urban Waters Small Grants",26
"798","VA Grants For Adaptive Sports Programs For Disabled Veterans",3
"799","Vacant Lot Clean-Up",94
"800","Vacant Lot Clean-Up Bulk Recycling",12
"801","Venereal Disease Control",1588
"802","Violence Against Women",97
"803","Violence Against Women Formula Grants",824
"804","Viral Hepatitis Prevention",606
"805","Vocational Education",622
"806","Volunteers In Service To America",7
"807","Veteran Affairs Homeless Providers And Per Diem Program",542
"808","Victim Services",3
"809","Violence Prevention",67
"810","Workforce Investment Act (WIA) - Dislocated Workers",2681
"811","Workforce Investment Act (WIA) - In School Youth",1548
"812","Workforce Investment Act (WIA) - National Emergency",118
"813","Workforce Investment Act (WIA) - Out Of School Youth",1398
"814","Water Authority Grant",40
"815","Water Security Training & Tech Assistnce",38
"816","Waterfront Study",47
"817","Waterfront-Tourism-Environ. -Educ",20
"818","Weed And Seed Project",6
"819","Whitehall Ferry Terminal",6
"820","Workforce Investment Act (WIA) - National Emergency",136
"821","Williamsburgh Bridge",406
"822","Williamsburgh Bridge Project",75
"823","Wireless E 911 Surcharges",25
"824","Work Incentives Grant",9
"825","Work Now",1305
"826","Workforce Investment Act (WIA) - Adult",2641
"827","Workforce Investment Act (WIA) - Central Administration",3088
"828","Water Pollution Control",9
"829","Youth Initiatives",19
"830","Youth Tobacco Enforcement",831
"831","Youth Homelessness Demonstration Program",6
