"","revenue_category","subcategory","category","fiscal_year","Categorical.Citywide.Rev","FY_CPI","Adjusted.Categorical.Citywide.Rev"
"302","Charges for Services","Rental Income","Rental Income",2021,233535000,263.1505,274730797
"303","Investment Income","Investment Income","Investment Income",2021,14743000,263.1505,17343679
"304","Licenses, Permits, Privileges and Franchises","Licenses","Licenses",2021,63863000,263.1505,75128494
"305","Licenses, Permits, Privileges and Franchises","Permits","Permits",2021,265188000,263.1505,311967417
"306","Licenses, Permits, Privileges and Franchises","Privileges and Franchises","Privileges and Franchises",2021,296095000,263.1505,348326441
"307","Fines and Forfeitures","Fines","Fines",2021,1034804000,263.1505,1217344416
"308","Fines and Forfeitures","Forfeitures","Forfeitures",2021,868000,263.1505,1021116
"309","Miscellaneous","Miscellaneous","Miscellaneous",2021,1081818000,263.1505,1272651730
"310","Pollution Remediation-Bond Sales","Pollution Remediation-Bond Sales","Pollution Remediation-Bond Sales",2021,96428000,263.1505,113437991
"311","Transfer from General Debt Service Fund","Transfer from General Debt Service Fund","Transfer from General Debt Service Fund",2021,60554000,263.1505,71235784
"312","Transfer from Nonmajor Debt Service Fund","Transfer from Nonmajor Debt Service Fund","Transfer from Nonmajor Debt Service Fund",2021,247720000,263.1505,291418045
"313","Taxes","Real Estate Taxes","Real Estate Taxes",2020,29815935000,257.23,35882804906
"314","Taxes","Sales and Use Taxes","General Sales",2020,7385024000,257.23,8887709724
"315","Taxes","Sales and Use Taxes","Cigarette",2020,25746000,257.23,30984730
"316","Taxes","Sales and Use Taxes","Commercial Motor Vehicle",2020,63736000,257.23,76704838
"317","Taxes","Sales and Use Taxes","Mortgage",2020,974514000,257.23,1172805607
"318","Taxes","Sales and Use Taxes","Stock Transfer",2020,0,257.23,0
"319","Taxes","Sales and Use Taxes","Auto Use",2020,27952000,257.23,33639601
"320","Taxes","Sales and Use Taxes","Other",2020,1138000,257.23,1369557
"321","Taxes","Personal Income Taxes","Personal Income Taxes",2020,13591179000,257.23,16356677210
"322","Taxes","Income Taxes, Other","General Corporation",2020,5170058000,257.23,6222048128
"323","Taxes","Income Taxes, Other","Financial Corporation",2020,82902000,257.23,99770686
"324","Taxes","Income Taxes, Other","Unincorporated Business",2020,2053213000,257.23,2470995510
"325","Taxes","Income Taxes, Other","Pass-through Entity Tax",2020,0,257.23,0
"326","Taxes","Income Taxes, Other","Personal Income- (Non-Resident City Employees)",2020,184946000,257.23,222578337
"327","Taxes","Income Taxes, Other","Utility",2020,370877000,257.23,446342100
"328","Taxes","Other Taxes","Payments in Lieu of Taxes",2020,736618000,257.23,886503139
"329","Taxes","Other Taxes","Hotel Room Occupancy",2020,481739000,257.23,579762015
"330","Taxes","Other Taxes","Commercial Rents",2020,942889000,257.23,1134745633
"331","Taxes","Other Taxes","Horse Race Admissions",2020,25000,257.23,30087
"332","Taxes","Other Taxes","Conveyance of Real Property",2020,1140136000,257.23,1372127946
"333","Taxes","Other Taxes","Beer and Liquor Excise",2020,23787000,257.23,28627118
"334","Taxes","Other Taxes","Taxi Medallion Transfer",2020,532000,257.23,640250
"335","Taxes","Other Taxes","Off-Track Betting Surtax",2020,619000,257.23,744953
"336","Taxes","Other Taxes","Surcharge on Liquor Licenses",2020,5714000,257.23,6876670
"337","Taxes","Other Taxes","Coin-operated Amusement Devices",2020,0,257.23,0
"338","Taxes","Other Taxes","Refunds of Other Taxes",2020,-72945000,257.23,-87787661
"339","Taxes","Other Taxes","Other",2020,251000,257.23,302073
"340","Taxes","Penalties and Interest on Delinquent Taxes","Penalties and Interest on Real Estate Taxes",2020,90932000,257.23,109434610
"341","Taxes","Penalties and Interest on Delinquent Taxes","Refunds--Penalties and Interest on Other Taxes",2020,-7845000,257.23,-9441280
"342","Federal Grants and Contracts--Categorical","General Government","General Government",2020,3324971000,257.23,4001527563
"343","Federal Grants and Contracts--Categorical","Public Safety and Judicial","Public Safety and Judicial",2020,334376000,257.23,402413970
"344","Federal Grants and Contracts--Categorical","Education","Education",2020,1672438000,257.23,2012741391
"345","Federal Grants and Contracts--Categorical","Social Services","Social Services",2020,3012760000,257.23,3625788670
"346","Federal Grants and Contracts--Categorical","Environmental Protection","Environmental Protection",2020,35582000,257.23,42822134
"347","Federal Grants and Contracts--Categorical","Transportation Services","Transportation Services",2020,104223000,257.23,125430028
"348","Federal Grants and Contracts--Categorical","Parks, Recreation, and Cultural Activities","Parks, Recreation, and Cultural Activities",2020,-5114000,257.23,-6154584
"349","Federal Grants and Contracts--Categorical","Housing","Housing",2020,565660000,257.23,680759045
"350","Federal Grants and Contracts--Categorical","Health","Health",2020,349841000,257.23,421025749
"351","Federal Grants and Contracts--Categorical","Libraries","Libraries",2020,0,257.23,0
"352","Federal Grants and Contracts--Categorical","City University","City University",2020,0,257.23,0
"353","State Grants and Contracts--Categorical","General Government","General Government",2020,1004457000,257.23,1208841332
"354","State Grants and Contracts--Categorical","Public Safety and Judicial","Public Safety and Judicial",2020,126551000,257.23,152301273
"355","State Grants and Contracts--Categorical","Education","Education",2020,11493497000,257.23,13832164262
"356","State Grants and Contracts--Categorical","Social Services","Social Services",2020,1795717000,257.23,2161104885
"357","State Grants and Contracts--Categorical","Environmental Protection","Environmental Protection",2020,3431000,257.23,4129131
"358","State Grants and Contracts--Categorical","Transportation Services","Transportation Services",2020,234477000,257.23,282187778
"359","State Grants and Contracts--Categorical","Parks, Recreation and Cultural Activities","Parks, Recreation and Cultural Activities",2020,1101000,257.23,1325029
"360","State Grants and Contracts--Categorical","Housing","Housing",2020,814000,257.23,979631
"361","State Grants and Contracts--Categorical","Health","Health",2020,428008000,257.23,515097969
"362","State Grants and Contracts--Categorical","City University","City University",2020,245900000,257.23,295935101
"363","State Grants and Contracts--Categorical","General Debt Service Fund","General Debt Service Fund",2020,0,257.23,0
"364","Non-Governmental Grants","General Government","General Government",2020,510663000,257.23,614571396
"365","Non-Governmental Grants","Public Safety and Judicial","Public Safety and Judicial",2020,217719000,257.23,262019903
"366","Non-Governmental Grants","Education","Education",2020,144310000,257.23,173673828
"367","Non-Governmental Grants","Social Services","Social Services",2020,3312000,257.23,3985917
"368","Non-Governmental Grants","Environmental Protection","Environmental Protection",2020,7999000,257.23,9626616
"369","Non-Governmental Grants","Transportation Services","Transportation Services",2020,5123000,257.23,6165415
"370","Non-Governmental Grants","Parks, Recreation and Cultural Activities","Parks, Recreation and Cultural Activities",2020,14227000,257.23,17121873
"371","Non-Governmental Grants","Housing","Housing",2020,-963000,257.23,-1158949
"372","Non-Governmental Grants","Health","Health",2020,48755000,257.23,58675542
"373","Non-Governmental Grants","Libraries","Libraries",2020,135000,257.23,162469
"374","Non-Governmental Grants","City University","City University",2020,18042000,257.23,21713140
"375","Provision for Disallowances Federal, State and Other Aid","Provision for Disallowances Federal, State and Other Aid","Provision for Disallowances Federal, State and Other Aid",2020,-5082000,257.23,-6116072
"376","Unrestricted Federal and State Aid","Intergovernmental Aid","Intergovernmental Aid",2020,10861000,257.23,13070968
"377","Charges for Services","General Government Charges","General Government Charges",2020,951449000,257.23,1145047400
"378","Charges for Services","Water and Sewer","Water and Sewer",2020,1614829000,257.23,1943410259
"379","Charges for Services","Housing","Housing",2020,30729000,257.23,36981658
"380","Charges for Services","Rental Income","Rental Income",2020,258430000,257.23,311014673
"381","Investment Income","Investment Income","Investment Income",2020,136599000,257.23,164393814
"382","Licenses, Permits, Privileges and Franchises","Licenses","Licenses",2020,74660000,257.23,89851625
"383","Licenses, Permits, Privileges and Franchises","Permits","Permits",2020,297110000,257.23,357565180
"384","Licenses, Permits, Privileges and Franchises","Privileges and Franchises","Privileges and Franchises",2020,327638000,257.23,394304939
"385","Fines and Forfeitures","Fines","Fines",2020,1077292000,257.23,1296496610
"386","Fines and Forfeitures","Forfeitures","Forfeitures",2020,1873000,257.23,2254113
"387","Miscellaneous","Miscellaneous","Miscellaneous",2020,1054078000,257.23,1268559085
"388","Pollution Remediation-Bond Sales","Pollution Remediation-Bond Sales","Pollution Remediation-Bond Sales",2020,136064000,257.23,163749953
"389","Transfer from General Debt Service Fund","Transfer from General Debt Service Fund","Transfer from General Debt Service Fund",2020,78090000,257.23,93979553
"390","Transfer from Nonmajor Debt Service Fund","Transfer from Nonmajor Debt Service Fund","Transfer from Nonmajor Debt Service Fund",2020,225838000,257.23,271790936
"391","Taxes","Real Estate Taxes","Real Estate Taxes",2019,27884735000,253.2685,34083557001
"392","Taxes","Sales and Use Taxes","General Sales",2019,7839527000,253.2685,9582266619
"393","Taxes","Sales and Use Taxes","Cigarette",2019,29938000,253.2685,36593266
"394","Taxes","Sales and Use Taxes","Commercial Motor Vehicle",2019,85488000,253.2685,104492122
"395","Taxes","Sales and Use Taxes","Mortgage",2019,1096556000,253.2685,1340322185
"396","Taxes","Sales and Use Taxes","Stock Transfer",2019,0,253.2685,0
"397","Taxes","Sales and Use Taxes","Auto Use",2019,29925000,253.2685,36577376
"398","Taxes","Sales and Use Taxes","Other",2019,1346000,253.2685,1645218
"399","Taxes","Personal Income Taxes","Personal Income Taxes",2019,13376944000,253.2685,16350660436
"400","Taxes","Income Taxes, Other","General Corporation",2019,4728619000,253.2685,5779798704
"401","Taxes","Income Taxes, Other","Financial Corporation",2019,-1283000,253.2685,-1568213
"402","Taxes","Income Taxes, Other","Unincorporated Business",2019,2123980000,253.2685,2596144213
"403","Taxes","Income Taxes, Other","Pass-through Entity Tax",2019,0,253.2685,0
"404","Taxes","Income Taxes, Other","Personal Income- (Non-Resident City Employees)",2019,178399000,253.2685,218057388
"405","Taxes","Income Taxes, Other","Utility",2019,386550000,253.2685,472480695
"406","Taxes","Other Taxes","Payments in Lieu of Taxes",2019,491292000,253.2685,600507012
"407","Taxes","Other Taxes","Hotel Room Occupancy",2019,634022000,253.2685,774966123
"408","Taxes","Other Taxes","Commercial Rents",2019,995346000,253.2685,1216613037
"409","Taxes","Other Taxes","Horse Race Admissions",2019,42000,253.2685,51337
"410","Taxes","Other Taxes","Conveyance of Real Property",2019,1563388000,253.2685,1910931698
"411","Taxes","Other Taxes","Beer and Liquor Excise",2019,25795000,253.2685,31529271
"412","Taxes","Other Taxes","Taxi Medallion Transfer",2019,1035000,253.2685,1265082
"413","Taxes","Other Taxes","Off-Track Betting Surtax",2019,729000,253.2685,891058
"414","Taxes","Other Taxes","Surcharge on Liquor Licenses",2019,7121000,253.2685,8704010
"415","Taxes","Other Taxes","Coin-operated Amusement Devices",2019,0,253.2685,0
"416","Taxes","Other Taxes","Refunds of Other Taxes",2019,-50478000,253.2685,-61699342
"417","Taxes","Other Taxes","Other",2019,191000,253.2685,233460
"418","Taxes","Penalties and Interest on Delinquent Taxes","Penalties and Interest on Real Estate Taxes",2019,81816000,253.2685,100003830
"419","Taxes","Penalties and Interest on Delinquent Taxes","Refunds--Penalties and Interest on Other Taxes",2019,-17523000,253.2685,-21418391
"420","Federal Grants and Contracts--Categorical","General Government","General Government",2019,712692000,253.2685,871124592
"421","Federal Grants and Contracts--Categorical","Public Safety and Judicial","Public Safety and Judicial",2019,386161000,253.2685,472005219
"422","Federal Grants and Contracts--Categorical","Education","Education",2019,1875662000,253.2685,2292624717
"423","Federal Grants and Contracts--Categorical","Social Services","Social Services",2019,3619906000,253.2685,4424616999
"424","Federal Grants and Contracts--Categorical","Environmental Protection","Environmental Protection",2019,3651000,253.2685,4462623
"425","Federal Grants and Contracts--Categorical","Transportation Services","Transportation Services",2019,74337000,253.2685,90862236
"426","Federal Grants and Contracts--Categorical","Parks, Recreation, and Cultural Activities","Parks, Recreation, and Cultural Activities",2019,424000,253.2685,518256
"427","Federal Grants and Contracts--Categorical","Housing","Housing",2019,543204000,253.2685,663959134
"428","Federal Grants and Contracts--Categorical","Health","Health",2019,305851000,253.2685,373842175
"429","Federal Grants and Contracts--Categorical","Libraries","Libraries",2019,0,253.2685,0
"430","Federal Grants and Contracts--Categorical","City University","City University",2019,0,253.2685,0
"431","State Grants and Contracts--Categorical","General Government","General Government",2019,923324000,253.2685,1128580429
"432","State Grants and Contracts--Categorical","Public Safety and Judicial","Public Safety and Judicial",2019,125169000,253.2685,152994273
"433","State Grants and Contracts--Categorical","Education","Education",2019,11185252000,253.2685,13671751735
"434","State Grants and Contracts--Categorical","Social Services","Social Services",2019,1739804000,253.2685,2126565262
"435","State Grants and Contracts--Categorical","Environmental Protection","Environmental Protection",2019,1966000,253.2685,2403045
"436","State Grants and Contracts--Categorical","Transportation Services","Transportation Services",2019,205732000,253.2685,251466559
"437","State Grants and Contracts--Categorical","Parks, Recreation and Cultural Activities","Parks, Recreation and Cultural Activities",2019,1280000,253.2685,1564546
"438","State Grants and Contracts--Categorical","Housing","Housing",2019,988000,253.2685,1207634
"439","State Grants and Contracts--Categorical","Health","Health",2019,523468000,253.2685,639835789
"440","State Grants and Contracts--Categorical","City University","City University",2019,263317000,253.2685,321852798
"441","State Grants and Contracts--Categorical","General Debt Service Fund","General Debt Service Fund",2019,0,253.2685,0
"442","Non-Governmental Grants","General Government","General Government",2019,693885000,253.2685,848136765
"443","Non-Governmental Grants","Public Safety and Judicial","Public Safety and Judicial",2019,226278000,253.2685,276579968
"444","Non-Governmental Grants","Education","Education",2019,179971000,253.2685,219978846
"445","Non-Governmental Grants","Social Services","Social Services",2019,3985000,253.2685,4870872
"446","Non-Governmental Grants","Environmental Protection","Environmental Protection",2019,12731000,253.2685,15561122
"447","Non-Governmental Grants","Transportation Services","Transportation Services",2019,2686000,253.2685,3283102
"448","Non-Governmental Grants","Parks, Recreation and Cultural Activities","Parks, Recreation and Cultural Activities",2019,16882000,253.2685,20634896
"449","Non-Governmental Grants","Housing","Housing",2019,13561000,253.2685,16575632
"450","Non-Governmental Grants","Health","Health",2019,30405000,253.2685,37164081
"451","Non-Governmental Grants","Libraries","Libraries",2019,0,253.2685,0
"452","Non-Governmental Grants","City University","City University",2019,19693000,253.2685,24070786
"453","Provision for Disallowances Federal, State and Other Aid","Provision for Disallowances Federal, State and Other Aid","Provision for Disallowances Federal, State and Other Aid",2019,112543000,253.2685,137561492
"454","Unrestricted Federal and State Aid","Intergovernmental Aid","Intergovernmental Aid",2019,150539000,253.2685,184004065
"455","Charges for Services","General Government Charges","General Government Charges",2019,1030694000,253.2685,1259818955
"456","Charges for Services","Water and Sewer","Water and Sewer",2019,1469601000,253.2685,1796295696
"457","Charges for Services","Housing","Housing",2019,27854000,253.2685,34045990
"458","Charges for Services","Rental Income","Rental Income",2019,273141000,253.2685,333860689
"459","Investment Income","Investment Income","Investment Income",2019,225904000,253.2685,276122827
"460","Licenses, Permits, Privileges and Franchises","Licenses","Licenses",2019,85140000,253.2685,104066761
"461","Licenses, Permits, Privileges and Franchises","Permits","Permits",2019,356561000,253.2685,435825091
"462","Licenses, Permits, Privileges and Franchises","Privileges and Franchises","Privileges and Franchises",2019,360650000,253.2685,440823082
"463","Fines and Forfeitures","Fines","Fines",2019,1107441000,253.2685,1353626938
"464","Fines and Forfeitures","Forfeitures","Forfeitures",2019,1287000,253.2685,1573102
"465","Miscellaneous","Miscellaneous","Miscellaneous",2019,956681000,253.2685,1169352744
"466","Pollution Remediation-Bond Sales","Pollution Remediation-Bond Sales","Pollution Remediation-Bond Sales",2019,140310000,253.2685,171501141
"467","Transfer from General Debt Service Fund","Transfer from General Debt Service Fund","Transfer from General Debt Service Fund",2019,80976000,253.2685,98977097
"468","Transfer from Nonmajor Debt Service Fund","Transfer from Nonmajor Debt Service Fund","Transfer from Nonmajor Debt Service Fund",2019,219215000,253.2685,267946851
"469","Taxes","Real Estate Taxes","Real Estate Taxes",2018,26407630000,248.126,32947064084
"470","Taxes","Sales and Use Taxes","General Sales",2018,7460490000,248.126,9307962969
"471","Taxes","Sales and Use Taxes","Cigarette",2018,36483000,248.126,45517441
"472","Taxes","Sales and Use Taxes","Commercial Motor Vehicle",2018,73707000,248.126,91959379
"473","Taxes","Sales and Use Taxes","Mortgage",2018,1049474000,248.126,1309359724
"474","Taxes","Sales and Use Taxes","Stock Transfer",2018,0,248.126,0
"475","Taxes","Sales and Use Taxes","Auto Use",2018,30317000,248.126,37824528
"476","Taxes","Sales and Use Taxes","Other",2018,0,248.126,0
"477","Taxes","Personal Income Taxes","Personal Income Taxes",2018,13411315000,248.126,16732416152
"478","Taxes","Income Taxes, Other","General Corporation",2018,4101887000,248.126,5117654778
"479","Taxes","Income Taxes, Other","Financial Corporation",2018,394858000,248.126,492638371
"480","Taxes","Income Taxes, Other","Unincorporated Business",2018,2269384000,248.126,2831361242
"481","Taxes","Income Taxes, Other","Pass-through Entity Tax",2018,0,248.126,0
"482","Taxes","Income Taxes, Other","Personal Income- (Non-Resident City Employees)",2018,173118000,248.126,215987949
"483","Taxes","Income Taxes, Other","Utility",2018,389648000,248.126,486138197
"484","Taxes","Other Taxes","Payments in Lieu of Taxes",2018,376546000,248.126,469791692
"485","Taxes","Other Taxes","Hotel Room Occupancy",2018,606728000,248.126,756974643
"486","Taxes","Other Taxes","Commercial Rents",2018,919094000,248.126,1146693168
"487","Taxes","Other Taxes","Horse Race Admissions",2018,36000,248.126,44915
"488","Taxes","Other Taxes","Conveyance of Real Property",2018,1426869000,248.126,1780210658
"489","Taxes","Other Taxes","Beer and Liquor Excise",2018,24400000,248.126,30442276
"490","Taxes","Other Taxes","Taxi Medallion Transfer",2018,502000,248.126,626312
"491","Taxes","Other Taxes","Off-Track Betting Surtax",2018,631000,248.126,787257
"492","Taxes","Other Taxes","Surcharge on Liquor Licenses",2018,7173000,248.126,8949281
"493","Taxes","Other Taxes","Coin-operated Amusement Devices",2018,0,248.126,0
"494","Taxes","Other Taxes","Refunds of Other Taxes",2018,-112843000,248.126,-140786794
"495","Taxes","Other Taxes","Other",2018,136000,248.126,169678
"496","Taxes","Penalties and Interest on Delinquent Taxes","Penalties and Interest on Real Estate Taxes",2018,59526000,248.126,74266677
"497","Taxes","Penalties and Interest on Delinquent Taxes","Refunds--Penalties and Interest on Other Taxes",2018,-3162000,248.126,-3945020
"498","Federal Grants and Contracts--Categorical","General Government","General Government",2018,1225029000,248.126,1528388158
"499","Federal Grants and Contracts--Categorical","Public Safety and Judicial","Public Safety and Judicial",2018,341350000,248.126,425879957
"500","Federal Grants and Contracts--Categorical","Education","Education",2018,1785725000,248.126,2227931700
"501","Federal Grants and Contracts--Categorical","Social Services","Social Services",2018,3437321000,248.126,4288519464
"502","Federal Grants and Contracts--Categorical","Environmental Protection","Environmental Protection",2018,4782000,248.126,5966187
"503","Federal Grants and Contracts--Categorical","Transportation Services","Transportation Services",2018,100661000,248.126,125588113
"504","Federal Grants and Contracts--Categorical","Parks, Recreation, and Cultural Activities","Parks, Recreation, and Cultural Activities",2018,928000,248.126,1157805
"505","Federal Grants and Contracts--Categorical","Housing","Housing",2018,523393000,248.126,653003042
"506","Federal Grants and Contracts--Categorical","Health","Health",2018,348442000,248.126,434728179
"507","Federal Grants and Contracts--Categorical","Libraries","Libraries",2018,0,248.126,0
"508","Federal Grants and Contracts--Categorical","City University","City University",2018,0,248.126,0
"509","State Grants and Contracts--Categorical","General Government","General Government",2018,944486000,248.126,1178373098
"510","State Grants and Contracts--Categorical","Public Safety and Judicial","Public Safety and Judicial",2018,124955000,248.126,155898140
"511","State Grants and Contracts--Categorical","Education","Education",2018,10709714000,248.126,13361806170
"512","State Grants and Contracts--Categorical","Social Services","Social Services",2018,1652486000,248.126,2061698158
"513","State Grants and Contracts--Categorical","Environmental Protection","Environmental Protection",2018,10882000,248.126,13576756
"514","State Grants and Contracts--Categorical","Transportation Services","Transportation Services",2018,219065000,248.126,273313001
"515","State Grants and Contracts--Categorical","Parks, Recreation and Cultural Activities","Parks, Recreation and Cultural Activities",2018,1394000,248.126,1739202
"516","State Grants and Contracts--Categorical","Housing","Housing",2018,795000,248.126,991869
"517","State Grants and Contracts--Categorical","Health","Health",2018,534843000,248.126,667288454
"518","State Grants and Contracts--Categorical","City University","City University",2018,254513000,248.126,317539140
"519","State Grants and Contracts--Categorical","General Debt Service Fund","General Debt Service Fund",2018,0,248.126,0
"520","Non-Governmental Grants","General Government","General Government",2018,547890000,248.126,683566338
"521","Non-Governmental Grants","Public Safety and Judicial","Public Safety and Judicial",2018,225917000,248.126,281861791
"522","Non-Governmental Grants","Education","Education",2018,193276000,248.126,241137760
"523","Non-Governmental Grants","Social Services","Social Services",2018,1351000,248.126,1685554
"524","Non-Governmental Grants","Environmental Protection","Environmental Protection",2018,7451000,248.126,9296123
"525","Non-Governmental Grants","Transportation Services","Transportation Services",2018,3923000,248.126,4894469
"526","Non-Governmental Grants","Parks, Recreation and Cultural Activities","Parks, Recreation and Cultural Activities",2018,12965000,248.126,16175578
"527","Non-Governmental Grants","Housing","Housing",2018,29162000,248.126,36383510
"528","Non-Governmental Grants","Health","Health",2018,65869000,248.126,82180421
"529","Non-Governmental Grants","Libraries","Libraries",2018,0,248.126,0
"530","Non-Governmental Grants","City University","City University",2018,17243000,248.126,21512958
"531","Provision for Disallowances Federal, State and Other Aid","Provision for Disallowances Federal, State and Other Aid","Provision for Disallowances Federal, State and Other Aid",2018,139428000,248.126,173955151
"532","Unrestricted Federal and State Aid","Intergovernmental Aid","Intergovernmental Aid",2018,0,248.126,0
"533","Charges for Services","General Government Charges","General Government Charges",2018,1026587000,248.126,1280805119
"534","Charges for Services","Water and Sewer","Water and Sewer",2018,1389954000,248.126,1734154239
"535","Charges for Services","Housing","Housing",2018,34652000,248.126,43233023
"536","Charges for Services","Rental Income","Rental Income",2018,260504000,248.126,325013717
"537","Investment Income","Investment Income","Investment Income",2018,125353000,248.126,156394698
"538","Licenses, Permits, Privileges and Franchises","Licenses","Licenses",2018,91433000,248.126,114074944
"539","Licenses, Permits, Privileges and Franchises","Permits","Permits",2018,310314000,248.126,387158380
"540","Licenses, Permits, Privileges and Franchises","Privileges and Franchises","Privileges and Franchises",2018,373795000,248.126,466359451
"541","Fines and Forfeitures","Fines","Fines",2018,1025910000,248.126,1279960470
"542","Fines and Forfeitures","Forfeitures","Forfeitures",2018,1547000,248.126,1930090
"543","Miscellaneous","Miscellaneous","Miscellaneous",2018,270345000,248.126,337291686
"544","Pollution Remediation-Bond Sales","Pollution Remediation-Bond Sales","Pollution Remediation-Bond Sales",2018,149891000,248.126,187009148
"545","Transfer from General Debt Service Fund","Transfer from General Debt Service Fund","Transfer from General Debt Service Fund",2018,81810000,248.126,102068959
"546","Transfer from Nonmajor Debt Service Fund","Transfer from Nonmajor Debt Service Fund","Transfer from Nonmajor Debt Service Fund",2018,225114000,248.126,280859940
"547","Taxes","Real Estate Taxes","Real Estate Taxes",2017,24679412000,242.6565,31484909378
"548","Taxes","Sales and Use Taxes","General Sales",2017,7034094000,242.6565,8973788036
"549","Taxes","Sales and Use Taxes","Cigarette",2017,37212000,242.6565,47473434
"550","Taxes","Sales and Use Taxes","Commercial Motor Vehicle",2017,76667000,242.6565,97808390
"551","Taxes","Sales and Use Taxes","Mortgage",2017,1117760000,242.6565,1425989092
"552","Taxes","Sales and Use Taxes","Stock Transfer",2017,0,242.6565,0
"553","Taxes","Sales and Use Taxes","Auto Use",2017,30703000,242.6565,39169538
"554","Taxes","Sales and Use Taxes","Other",2017,0,242.6565,0
"555","Taxes","Personal Income Taxes","Personal Income Taxes",2017,11257809000,242.6565,14362218037
"556","Taxes","Income Taxes, Other","General Corporation",2017,4045398000,242.6565,5160941007
"557","Taxes","Income Taxes, Other","Financial Corporation",2017,435658000,242.6565,555793333
"558","Taxes","Income Taxes, Other","Unincorporated Business",2017,2079048000,242.6565,2652358082
"559","Taxes","Income Taxes, Other","Pass-through Entity Tax",2017,0,242.6565,0
"560","Taxes","Income Taxes, Other","Personal Income- (Non-Resident City Employees)",2017,161775000,242.6565,206385436
"561","Taxes","Income Taxes, Other","Utility",2017,398742000,242.6565,508697522
"562","Taxes","Other Taxes","Payments in Lieu of Taxes",2017,351438000,242.6565,448349158
"563","Taxes","Other Taxes","Hotel Room Occupancy",2017,582481000,242.6565,743103665
"564","Taxes","Other Taxes","Commercial Rents",2017,921373000,242.6565,1175447187
"565","Taxes","Other Taxes","Horse Race Admissions",2017,43000,242.6565,54858
"566","Taxes","Other Taxes","Conveyance of Real Property",2017,1418683000,242.6565,1809893432
"567","Taxes","Other Taxes","Beer and Liquor Excise",2017,25814000,242.6565,32932367
"568","Taxes","Other Taxes","Taxi Medallion Transfer",2017,1539000,242.6565,1963389
"569","Taxes","Other Taxes","Off-Track Betting Surtax",2017,928000,242.6565,1183902
"570","Taxes","Other Taxes","Surcharge on Liquor Licenses",2017,6347000,242.6565,8097224
"571","Taxes","Other Taxes","Coin-operated Amusement Devices",2017,0,242.6565,0
"572","Taxes","Other Taxes","Refunds of Other Taxes",2017,-53703000,242.6565,-68511928
"573","Taxes","Other Taxes","Other",2017,48000,242.6565,61236
"574","Taxes","Penalties and Interest on Delinquent Taxes","Penalties and Interest on Real Estate Taxes",2017,58812000,242.6565,75029765
"575","Taxes","Penalties and Interest on Delinquent Taxes","Refunds--Penalties and Interest on Other Taxes",2017,-5676000,242.6565,-7241191
"576","Federal Grants and Contracts--Categorical","General Government","General Government",2017,1284309000,242.6565,1638464988
"577","Federal Grants and Contracts--Categorical","Public Safety and Judicial","Public Safety and Judicial",2017,320868000,242.6565,409349295
"578","Federal Grants and Contracts--Categorical","Education","Education",2017,1708568000,242.6565,2179715977
"579","Federal Grants and Contracts--Categorical","Social Services","Social Services",2017,3531602000,242.6565,4505462648
"580","Federal Grants and Contracts--Categorical","Environmental Protection","Environmental Protection",2017,1335000,242.6565,1703134
"581","Federal Grants and Contracts--Categorical","Transportation Services","Transportation Services",2017,56063000,242.6565,71522712
"582","Federal Grants and Contracts--Categorical","Parks, Recreation, and Cultural Activities","Parks, Recreation, and Cultural Activities",2017,-5832000,242.6565,-7440209
"583","Federal Grants and Contracts--Categorical","Housing","Housing",2017,521755000,242.6565,665632102
"584","Federal Grants and Contracts--Categorical","Health","Health",2017,311032000,242.6565,396800958
"585","Federal Grants and Contracts--Categorical","Libraries","Libraries",2017,0,242.6565,0
"586","Federal Grants and Contracts--Categorical","City University","City University",2017,-1630000,242.6565,-2079482
"587","State Grants and Contracts--Categorical","General Government","General Government",2017,705576000,242.6565,900142857
"588","State Grants and Contracts--Categorical","Public Safety and Judicial","Public Safety and Judicial",2017,125739000,242.6565,160412291
"589","State Grants and Contracts--Categorical","Education","Education",2017,10250072000,242.6565,13076591454
"590","State Grants and Contracts--Categorical","Social Services","Social Services",2017,1751993000,242.6565,2235115684
"591","State Grants and Contracts--Categorical","Environmental Protection","Environmental Protection",2017,649000,242.6565,827966
"592","State Grants and Contracts--Categorical","Transportation Services","Transportation Services",2017,332716000,242.6565,424464453
"593","State Grants and Contracts--Categorical","Parks, Recreation and Cultural Activities","Parks, Recreation and Cultural Activities",2017,1083000,242.6565,1381644
"594","State Grants and Contracts--Categorical","Housing","Housing",2017,784000,242.6565,1000193
"595","State Grants and Contracts--Categorical","Health","Health",2017,573166000,242.6565,731219997
"596","State Grants and Contracts--Categorical","City University","City University",2017,248267000,242.6565,316728129
"597","State Grants and Contracts--Categorical","General Debt Service Fund","General Debt Service Fund",2017,0,242.6565,0
"598","Non-Governmental Grants","General Government","General Government",2017,594600000,242.6565,758564552
"599","Non-Governmental Grants","Public Safety and Judicial","Public Safety and Judicial",2017,214833000,242.6565,274074501
"600","Non-Governmental Grants","Education","Education",2017,175892000,242.6565,224395285
"601","Non-Governmental Grants","Social Services","Social Services",2017,3131000,242.6565,3994392
"602","Non-Governmental Grants","Environmental Protection","Environmental Protection",2017,12207000,242.6565,15573154
"603","Non-Governmental Grants","Transportation Services","Transportation Services",2017,4774000,242.6565,6090459
